- hā lou dàjiā hǎo  wǒ shì wáng gāng	 [00:00,0]
    Hello everyone, I am Wang Gang   [00:00,0]
    If you don't have phoenix tail, you can substitute it with other lettuce   [01:24,3]
- zhǔnbèi qíncài1 xiǎo bǎ qiē chéng10 límǐ zuǒyòu de duàn bèiyòng	 [01:27,2]
    Prepare a small bunch of water celery and cut into 10 cm sections   [01:27,2]
- zhǔnbèi jī gēn suàn miáo pāi sàn zhīhòu qiē chéng xiǎo duàn bèiyòng	 [01:31,2]
    Prepare a few green garlic leaves, crush them and cut into small sections   [01:31,2]
- zhǔnbèi shìliàng de dàsuàn hé shēngjiāng qiē chéngpiàn zhīhòu fàng rù wǎn zhōng bèiyòng	 [01:35,3]
    Prepare some garlic and ginger, slice them and put them in a bowl for later use   [01:35,3]
- zài jiārù shìliàng de dòu bàn jiàng （ yuē 20 kè ）	 [01:39,6]
    Then add some Doubanjiang (about 20 grams)   [01:39,6]
- xià yī bù kāishǐ zhǔnbèi dāo kǒu làjiāo	 [01:41,2]
    Next, prepare the "knife-cut roasted chili"   [01:41,2]
- wǎn zhōng jiārù shìliàng de hàn yuán hóng huājiāo （ yuē 3 kè ）	 [01:43,3]
    Add some Hanyuan red Sichuan peppercorns (about 3 grams)   [01:43,3]
- jiārù jī kē qī xīng jiāo （ tè là xíng ）	 [01:45,6]
    Add a few Qixing dry chili peppers (extra spicy)   [01:45,6]
- jiārù shìliàng de xīn yīdài （ yuē 40 kè ）	 [01:47,2]
    Add some "New Generation" dry chili (about 40 grams)   [01:47,2]
- xià yī bù kāishǐ zhìzuò dāo kǒu làjiāo	 [01:48,7]
    Next, roast the knife-cut chili   [01:48,7]
- guō zhōng jiārù shǎo xǔ de cài zǐ yóu	 [01:50,9]
    Add a little rapeseed oil to the wok   [01:50,9]
- ránhòu zhíjiē zài lěng yóu de shíhòu bǎ làjiāo huājiāo xià guō	 [01:53,2]
    Then add in the chili and peppercorns while the oil is not hot yet   [01:53,2]
- kāi wēixiǎo huǒ chǎo10 fēnzhōng	 [01:56,5]
    Fry on very low heat for 10 minutes   [01:56,5]
- zhèyáng de mùde shì bǎ làjiāo huājiāo chǎo xiāng	 [01:58,3]
    The purpose is to bring out the aroma of the chili and peppercorns   [01:58,3]
- xiǎo huǒ fān chǎo de mùde shì fángzhǐ làjiāo fā kǔ	 [02:00,7]
    Stir-frying and roast on low heat prevents the chili from turning bitter   [02:00,7]
- làjiāo huājiāo chǎo zhì 10 fēnzhōng zhīhòu	 [02:03,5]
    After 10 minutes, when the chill becomes super crispy, it's ready   [02:03,5]
- míngxiǎn qīngcùi de shíhòu jíkě chū guō	 [02:05,5]
    Remove from the wok   [02:05,5]
- ránhòu yòng càidāo bǎ làjiāo duò sùi bèiyòng	 [02:11,6]
    Then chop the chili with a knife for later use   [02:11,6]
- gān làjiāo zhíjiē duò hùi dàn qǐlái	 [02:13,7]
    Dry chili will bounce when chopped directly   [02:13,7]
- kěyǐ xiān yòng dāo yā sùi zài duò	 [02:15,9]
    You can first crush them before chopping   [02:15,9]
- zhèyáng gèngjiā de fāngbiàn	 [02:17,5]
    This makes it easier   [02:17,5]
- xián máfán de tóngxué kěyǐ zhí jiēyòng pò bì jī jiǎo sùi	 [02:18,9]
    For those who find this troublesome, you can use a blender to grind it   [02:18,9]
- làjiāo duò hǎo zhīhòu fàng rù wǎn zhōng bèiyòng	 [02:21,9]
    After chopping the chili, place it in a bowl for later use   [02:21,9]
- xià yī bù kāishǐ zhǔnbèi zhǔ níuròu	 [02:24,1]
    Next, we start cooking the beef   [02:24,1]
- shǒuxiān wǒmen bǎ guō shāo rè	 [02:25,8]
    First, heat up the wok   [02:25,8]
- guō shāo rè zhīhòu jiārù cài zǐ yóu50 kè	 [02:27,8]
    Once the wok is hot, add 50 grams of rapeseed oil   [02:27,8]
- ránhòu xià rù jiāng suàn piàn hé dòu bàn jiàng chǎo xiāng chǎo chū hóng yóu	 [02:31,1]
    Then add the ginger, garlic slices, and Doubanjiang, stir-frying to release the red oil   [02:31,1]
- dòu bàn jiàng chǎo xiāng zhīhòu xià rù yībàn de dāo kǒu làjiāo	 [02:37,5]
    After the Doubanjiang is fragrant, add half of the knife-cut chili   [02:37,5]
- dāo kǒu làjiāo chǎo xiāng zhīhòu jiārù shìliàng de qīngshǔi shāo kāi	 [02:45,0]
    Once the chili is fragrant, add some water and bring it to a boil   [02:45,0]
- xià yī bù kāishǐ zhíjiē diào wèi	 [02:48,4]
    Next, we start seasoning   [02:48,4]
- guō zhōng jiārù shíyòng yán8 kè	 [02:50,1]
    Add 8 grams of salt to the wok   [02:50,1]
- jiārù jī jīng2 kè	 [02:51,9]
    Add 2 grams of chicken essence   [02:51,9]
- jiārù shǎo xǔ hú jiāo fěn	 [02:53,6]
    Add a little white peppercorn powder   [02:53,6]
- diào hǎo wèi zhīhòu jiārù zhǔnbèi hǎode fǔliào	 [02:55,0]
    After seasoning, add the prepared other ingredients (the vegetables)   [02:55,0]
- fǔliào xià guō zhīhòu kāi dàhuǒ zhǔ duàn shēng	 [02:58,6]
    After adding the vegetables, cook on high heat until they just half-cooked   [02:58,6]
- duàn shēng zhīhòu lāo chū diàndǐ bèiyòng	 [03:01,6]
    Once they are ready, remove them and set aside at the bottom of a deep plate   [03:01,6]
- ránhòu bǎ guō lí huǒ	 [03:05,9]
    Then remove the wok from the heat   [03:05,9]
- xià rù yān zhì hǎode níuròu	 [03:07,3]
    Add the marinated beef   [03:07,3]
- jiātíng xiǎo zào wúxū guō lí huǒ	 [03:08,9]
    For home cooking, you don’t need to remove the wok from the heat   [03:08,9]
- zhuǎn xiǎo huǒ jíkě	 [03:10,7]
    Just turn the heat to low   [03:10,7]
- níuròu xià guō zhīhòu zài jiārù 1 sháo jī jīng	 [03:12,1]
    After adding the beef, add 1 more spoonful of chicken essence   [03:12,1]
- hé 2 sháo wèi jīng diào wèi	 [03:14,5]
    And 2 spoonfuls of MSG for flavor   [03:14,5]
- bù xǐhuān de tóngxué kěyǐ bù jiā	 [03:16,2]
    You can skip it if you don’t like it   [03:16,2]
- huòzhě yòng jiàngyóu dàitì	 [03:18,1]
    Or replace it with light soy sauce   [03:18,1]
- ránhòu kāi xiǎo huǒbǎ níuròu zhǔ 1 fēnzhōng	 [03:19,7]
    Then cook the beef on low heat for 1 minute   [03:19,7]
- zhǔ shútòu jíkě	 [03:22,1]
    Until the beef is cooked   [03:22,1]
- níuròu zhǔ shú zhīhòu hé tāng zhī yīqǐ bǎi pán	 [03:24,0]
    Once the beef is cooked, serve it with the broth   [03:24,0]
- xià yī bù kāishǐ zhǔnbèi pō yóu	 [03:30,3]
    Next, we prepare to pour the hot oil   [03:30,3]
- pén zhōng jiārù shìliàng de cài zǐ yóu	 [03:32,6]
    Add some rapeseed oil to a bowl   [03:32,6]
- ránhòu bǎ yóu wēn shāo zhì 7 chéng rè	 [03:35,4]
    Then heat the oil to 70% hot (210 °C)   [03:35,4]
- cài zǐ yóu shāo rè zhīhòu zài pén zhōng sā shàng chùlǐ hǎode dāo kǒu làjiāo miàn	 [03:37,7]
    Once the rapeseed oil is hot, sprinkle the prepared knife-cut chili powder on the beef   [03:37,7]
- ránhòu bǎ cài zǐ yóu pō zài níuròu shàngmiàn jíkě	 [03:42,1]
    Then pour the hot rapeseed oil over the beef   [03:42,1]
- zùihòu sā shàng shìliàng de cōng huā huòzhě xiāng cài jíkě shàng cài	 [03:48,5]
    Finally, sprinkle some chopped scallions or coriander, and the dish is ready to serve   [03:48,5]
- yīdào má làwèi hòu de shǔi zhǔ níuròu jìu zhìzuò wánchéng	 [03:52,5]
    A rich and spicy Sichuan Spicy Boiled Beef is complete   [03:52,5]
- xiàmiàn kāishǐ jìzhú zǒngjié	 [03:59,3]
    Next, let's summarize the techniques   [03:59,3]
- dìyī , cáiliào xuǎnzé níu de lǐ jí ròu , qiē de shíhòu xūyào qūfēn héng shùn jīngluò .	 [04:02,0]
    First, use lean beef loin, and when cutting, differentiate between the grain and the cross-grain.   [04:02,0]
- dìèr , chǎo dāo kǒu làjiāo de yóu bù néng tài duō , kāi xiǎo huǒ chǎo10 fēnzhōng zuǒyòu , chǎo hǎode làjiāo bù biàn sè cái bù hùi fā kǔ .	 [04:07,0]
    Second, don’t use too much oil when frying the knife-cut chili, slow roast on low heat for about 10 minutes. The chili should not change too much color, otherwise it will turn bitter.   [04:07,0]
- dìsān , zùihòu pō yóu de wēndù bù néng tài gāo , zhǐ xūyào190 zhì 210 dù jíkě , yóu wēn tài gāo róngyì bǎ dāo kǒu làjiāo miàn zhà hú fā kǔ .	 [04:14,5]
    Third, the temperature of the oil for pouring should not be too high, just between 190 to 210 degrees Celsius. If the oil is too hot, it will burn the knife-cut chili and make it bitter.   [04:14,5]
- shǔi zhǔ níuròu de jìzhú zǒngjié wánbì	 [04:23,8]
    That concludes the technical summary for Sichuan Spicy Boiled Beef   [04:23,8]
- guānzhù měishí zuòjiā wáng gāng	 [04:29,3]
    Follow MeiShiZuoJia Chef Wang Gang   [04:29,3]
- zhèlǐ zǒng yǒu yī kuǎn shǔyú nǐ de cài	 [04:31,4]
    There’s always a dish for you here   [04:31,4]
